"date","close","volume","open","high","low"
"2009/12/18","68.2100","62956700.0000","68.5600","68.8000","67.6400"
"2009/12/17","68.2200","46609170.0000","68.3600","68.8645","68.1300"
"2009/12/16","68.4300","57697690.0000","69.5800","69.6000","68.4200"
"2009/12/15","69.1700","54413460.0000","69.9700","70.1100","68.8200"
"2009/12/14","69.6900","91435170.0000","70.8000","71.3000","69.2800"
"2009/12/11","72.8300","17128260.0000","72.8900","73.1500","72.3200"
"2009/12/10","72.4000","23419350.0000","73.3200","73.5600","72.2100"
"2009/12/09","72.7900","17228440.0000","73.0000","73.5500","72.1000"
"2009/12/08","72.9500","18492520.0000","73.4700","73.5000","72.4100"
"2009/12/07","73.7700","17834740.0000","73.9500","74.7200","73.5900"
"2009/12/04","74.2500","23696600.0000","75.6900","75.9700","73.9100"
"2009/12/03","74.9900","17852600.0000","75.5800","75.7600","74.9100"
"2009/12/02","75.7900","14786870.0000","75.9700","76.3000","75.3500"
"2009/12/01","76.0400","17375650.0000","76.0000","76.2400","75.2900"
"2009/11/30","75.0700","21436140.0000","74.4900","75.3500","74.3500"
"2009/11/27","74.8700","12105200.0000","74.6500","75.3800","74.3500"
"2009/11/25","76.4700","13269150.0000","76.0000","76.5400","75.6600"
"2009/11/24","75.9700","17120830.0000","75.7000","75.9900","74.8000"
"2009/11/23","75.7000","18947040.0000","75.4400","75.9643","75.3200"
"2009/11/20","74.3800","19267530.0000","74.3800","74.8100","74.0300"
"2009/11/19","74.6500","17252850.0000","74.7700","74.9000","74.0500"
"2009/11/18","75.2700","16645640.0000","75.2500","75.4000","74.7100"
"2009/11/17","75.0300","22920270.0000","74.7300","75.1600","74.4900"
"2009/11/16","74.4300","21323790.0000","73.6500","74.6700","73.3300"
"2009/11/13","72.4700","14461540.0000","72.0500","73.1600","71.7300"
"2009/11/12","71.9000","16587540.0000","72.6800","73.0500","71.7100"
"2009/11/11","72.9100","14397860.0000","73.0400","73.4300","72.5300"
"2009/11/10","72.6100","15695900.0000","72.4600","73.2300","72.4500"
"2009/11/09","72.8500","16805990.0000","72.9600","73.1700","72.4500"
"2009/11/06","72.5800","18184490.0000","71.8200","72.6900","71.5000"
"2009/11/05","72.5000","16222860.0000","71.9500","72.7500","71.5800"
"2009/11/04","71.3000","22788150.0000","72.0700","72.5300","71.0400"
"2009/11/03","71.7400","20529250.0000","71.3200","72.3000","71.1600"
"2009/11/02","72.1500","20420510.0000","72.0500","72.8500","71.1600"
"2009/10/30","71.6700","32126350.0000","73.3700","73.8200","71.0500"
"2009/10/29","73.9600","30070620.0000","72.5700","74.0000","72.1000"
"2009/10/28","73.8400","26344420.0000","74.5200","74.9600","73.8400"
"2009/10/27","74.9100","30339930.0000","73.3000","75.0000","73.3000"
"2009/10/26","73.2300","27125360.0000","73.8100","74.9200","73.1300"
"2009/10/23","73.5700","20668020.0000","74.3300","74.3300","72.9700"
"2009/10/22","74.4400","26013480.0000","73.0200","74.6500","73.0100"
"2009/10/21","73.3100","23099210.0000","72.6500","74.3000","72.5100"
"2009/10/20","73.0200","20049580.0000","73.3800","73.5400","72.3600"
"2009/10/19","73.6200","20404570.0000","73.1500","73.9700","73.0000"
"2009/10/16","73.1200","23556050.0000","72.7300","73.3500","72.3100"
"2009/10/15","72.9400","24089190.0000","71.5100","73.0000","71.5100"
"2009/10/14","71.8400","25280660.0000","70.8400","71.8800","70.7500"
"2009/10/13","70.2600","19188140.0000","70.2500","70.3900","69.5200"
"2009/10/12","70.1300","16233430.0000","69.5100","70.5000","69.4400"
"2009/10/09","69.2700","13541830.0000","68.9600","69.2700","68.6300"
"2009/10/08","69.0500","19227770.0000","68.9700","69.3000","68.7000"
"2009/10/07","68.6700","15302440.0000","68.4800","68.9300","67.9600"
"2009/10/06","68.6600","21163670.0000","68.0100","69.1000","67.7800"
"2009/10/05","67.5800","21852770.0000","66.7900","67.7800","66.1100"
"2009/10/02","66.5800","20472270.0000","66.9700","67.1400","66.5000"
"2009/10/01","67.2700","24924960.0000","68.3900","68.5000","67.0900"
"2009/09/30","68.6100","27113760.0000","68.9800","69.2400","68.0400"
"2009/09/29","69.0700","14693000.0000","69.3600","69.7100","68.9500"
"2009/09/28","69.5900","13301540.0000","68.8100","69.8500","68.6400"
"2009/09/25","68.7000","16454660.0000","68.8600","69.5400","68.4100"
"2009/09/24","68.9300","21556770.0000","69.0000","69.3600","68.3500"
"2009/09/23","69.0000","20895050.0000","69.8700","70.3400","68.8500"
"2009/09/22","69.8300","14555180.0000","70.0300","70.1400","69.7000"
"2009/09/21","69.5700","17983940.0000","69.1500","69.6800","69.0000"
"2009/09/18","69.9900","43247860.0000","70.2700","70.4800","69.6800"
"2009/09/17","69.8400","20985980.0000","69.9500","70.4500","69.8000"
"2009/09/16","70.3400","22096320.0000","69.8600","70.3800","69.1800"
"2009/09/15","69.4900","19475750.0000","70.1800","70.1800","69.4500"
"2009/09/14","70.0000","17483020.0000","69.1100","70.2900","69.0400"
"2009/09/11","69.9800","17470160.0000","70.8900","71.0800","69.7500"
"2009/09/10","70.6500","19176400.0000","70.8300","71.0400","70.4000"
"2009/09/09","70.5000","19651140.0000","70.8000","71.0500","70.0900"
"2009/09/08","70.6500","21965970.0000","69.8500","70.9700","69.7000"
"2009/09/04","69.1800","15156540.0000","68.2200","69.3000","68.1300"
"2009/09/03","68.2600","15150930.0000","68.4700","68.6550","67.8300"
"2009/09/02","68.1800","16312670.0000","68.3500","68.9000","68.1200"
"2009/09/01","68.4100","24372560.0000","68.9300","69.5000","68.1100"
"2009/08/31","69.1500","24331060.0000","69.4500","69.8500","68.9500"
"2009/08/28","70.1200","17716450.0000","71.2000","71.2000","69.9500"
"2009/08/27","70.8600","21394720.0000","71.0700","71.1700","69.9900"
"2009/08/26","71.3700","18772910.0000","70.0500","71.4700","69.9000"
"2009/08/25","70.6800","21176960.0000","71.7000","71.8900","70.5500"
"2009/08/24","71.3000","25593180.0000","70.0400","71.6500","69.9300"
"2009/08/21","69.9200","26164390.0000","69.4500","70.0000","69.2100"
"2009/08/20","68.5900","17247130.0000","68.0900","68.7800","67.8700"
"2009/08/19","68.0000","28039340.0000","66.0900","68.1900","66.0900"
"2009/08/18","66.4900","21510900.0000","66.7000","66.8100","66.2600"
"2009/08/17","66.5500","24327680.0000","67.3700","67.3700","66.5100"
"2009/08/14","68.2100","19227880.0000","68.5200","68.6600","67.6500"
"2009/08/13","68.7500","20235530.0000","69.2200","69.2200","68.1700"
"2009/08/12","69.1100","19183390.0000","68.2300","69.5500","68.1500"
"2009/08/11","68.1300","16946660.0000","68.7000","68.7900","67.9500"
"2009/08/10","69.1800","16232700.0000","69.1200","69.7100","69.0300"
"2009/08/07","69.4700","18041390.0000","70.0100","70.3899","69.3500"
"2009/08/06","69.7300","17361270.0000","70.0100","70.0300","69.4100"
"2009/08/05","70.0300","20327550.0000","70.4800","70.4900","69.6100"
"2009/08/04","70.6000","18595800.0000","70.2500","70.6400","70.0000"
"2009/08/03","70.6500","24751240.0000","70.9600","71.4000","70.3000"
"2009/07/31","70.3900","28070510.0000","70.3600","70.5000","69.4300"
"2009/07/30","70.7200","37804010.0000","70.3000","71.5200","69.9100"
"2009/07/29","71.4300","24078690.0000","71.0700","71.5800","70.3000"
"2009/07/28","71.8900","23007230.0000","71.8800","72.5000","71.1100"
"2009/07/27","72.7500","17336200.0000","72.4100","72.7900","71.7500"
"2009/07/24","72.2900","18162150.0000","71.3600","72.3800","71.2600"
"2009/07/23","71.6100","27073050.0000","69.8200","71.7400","69.7300"
"2009/07/22","69.9900","24773350.0000","69.8800","70.7200","69.5200"
"2009/07/21","70.4700","25425930.0000","69.4200","70.5100","69.3300"
"2009/07/20","68.9400","21275440.0000","69.1100","69.3800","68.1300"
"2009/07/17","68.5200","25785290.0000","68.3000","68.7500","67.8500"
"2009/07/16","68.4600","23537760.0000","68.2000","68.8000","67.4800"
"2009/07/15","68.4400","29628940.0000","67.2000","68.5100","66.8900"
"2009/07/14","66.2200","22878510.0000","66.2000","66.3500","65.4600"
"2009/07/13","65.7000","31653200.0000","65.1700","65.7300","64.4600"
"2009/07/10","65.1200","25909990.0000","65.1000","65.4000","64.7500"
"2009/07/09","65.9700","22757020.0000","66.8000","66.9700","65.7100"
"2009/07/08","66.2600","30044710.0000","66.5600","67.1300","65.5000"
